# Time Series: Chi-Chi, Taiwan 1999 - TCU068-090
# Time (s),Acceleration (g's)
1.365,9.16021E-4
1.37,5.42E-4
1.375,5.18607E-5
1.38,-3.71328E-4
1.385,-7.4649E-4
1.39,-0.00117821
1.395,-0.00164045
1.4,-0.00200538
1.405,-0.00223634
1.41,-0.00242039
1.415,-0.00266337
1.42,-0.00289551
1.425,-0.0029611
1.43,-0.00298969
1.435,-0.00313291
1.44,-0.00327167
1.445,-0.00337423
1.45,-0.00346865
1.455,-0.00352707
1.46,-0.0035629
1.465,-0.00358178
1.47,-0.0036369
1.475,-0.00363843
1.48,-0.00348836
1.485,-0.00323276
1.49,-0.00292837
1.495,-0.00265381
1.5,-0.00238689
1.505,-0.00209901
1.51,-0.00184721
1.515,-0.00164221
1.52,-0.00148519
1.525,-0.00137004
1.53,-0.00130905
1.535,-0.00129838
1.54,-0.00120836
1.545,-0.00102569
1.55,-8.8303E-4
1.555,-7.78052E-4
1.56,-5.7334E-4
1.565,-2.43196E-4
1.57,9.09964E-5
1.575,4.0072E-4
1.58,7.23278E-4
1.585,0.00103903
1.59,0.00127849
1.595,0.00150615
1.6,0.00170299
1.605,0.001811
1.61,0.00180835
1.615,0.00172338
1.62,0.00162778
1.625,0.00147378
1.63,0.00125332
1.635,9.82059E-4
1.64,6.3856E-4
1.645,2.9898E-4
1.65,-2.08411E-5
1.655,-3.10386E-4
1.66,-5.06267E-4
1.665,-6.39219E-4
1.67,-7.74704E-4
1.675,-8.9342E-4
1.68,-7.97147E-4
1.685,-4.09316E-4
1.69,-3.87696E-5
1.695,9.41577E-5
1.7,1.02899E-4
1.705,1.4467E-4
1.71,3.28234E-4
1.715,4.81725E-4
1.72,4.83514E-4
1.725,4.28788E-4
1.73,3.74644E-4
1.735,2.66416E-4
1.74,5.42128E-5
1.745,-2.19704E-4
1.75,-5.28883E-4
1.755,-9.05541E-4
1.76,-0.00126865
1.765,-0.00153312
1.77,-0.00184643
1.775,-0.00206914
1.78,-0.00200456
1.785,-0.00187728
1.79,-0.00179748
1.795,-0.00171466
1.8,-0.00158228
1.805,-0.00136647
1.81,-0.0011278
1.815,-9.77521E-4
1.82,-8.21448E-4
1.825,-5.25687E-4
1.83,-2.34181E-4
1.835,2.00755E-5
1.84,3.13922E-4
1.845,5.80247E-4
1.85,7.33872E-4
1.855,8.34459E-4
1.86,0.00108776
1.865,0.00134337
1.87,0.0013675
1.875,0.00132625
1.88,0.0015418
1.885,0.0019166
1.89,0.00209086
1.895,0.0020786
1.9,0.00213094
1.905,0.00230623
1.91,0.00245063
1.915,0.00244344
1.92,0.00238873
1.925,0.00239248
1.93,0.00240715
1.935,0.00238643
1.94,0.00226532
1.945,0.00197124
1.95,0.00151024
1.955,0.00109955
1.96,7.25307E-4
1.965,2.22797E-4
1.97,-5.25212E-4
1.975,-0.0013993
1.98,-0.00201168
1.985,-0.0023839
1.99,-0.00280741
1.995,-0.00318016
2.0,-0.00327992
2.005,-0.00313012
2.01,-0.0028495
2.015,-0.00245927
2.02,-0.0019625
2.025,-0.0014307
2.03,-9.91389E-4
2.035,-6.08789E-4
2.04,-1.17869E-4
2.045,4.40272E-4
2.05,9.24641E-4
2.055,0.0012673
2.06,0.0015432
2.065,0.00178943
2.07,0.00192151
2.075,0.00198666
2.08,0.00205155
2.085,0.00213251
2.09,0.00213731
2.095,0.00211744
2.1,0.00211633
2.105,0.00200633
2.11,0.00180672
2.115,0.00161275
2.12,0.00142805
2.125,0.00120522
2.13,9.4079E-4
2.135,6.28638E-4
2.14,2.61307E-4
2.145,-5.08974E-5
2.15,-2.72636E-4
2.155,-5.17094E-4
2.16,-6.90524E-4
2.165,-6.45575E-4
2.17,-5.59587E-4
2.175,-5.19431E-4
2.18,-3.18063E-4
2.185,1.5389E-5
2.19,2.77984E-4
2.195,4.94247E-4
2.2,7.34138E-4
2.205,0.00105727
2.21,0.00131827
2.215,0.00140924
2.22,0.00134938
2.225,0.00115912
2.23,8.51752E-4
2.235,5.18476E-4
2.24,1.39339E-4
2.245,-2.99547E-4
2.25,-7.15554E-4
2.255,-0.00107793
2.26,-0.00138689
2.265,-0.00179505
2.27,-0.00221493
2.275,-0.00253489
2.28,-0.00273214
2.285,-0.00271259
2.29,-0.00257603
2.295,-0.00245814
2.3,-0.00223441
2.305,-0.00195897
2.31,-0.00169443
2.315,-0.00143413
2.32,-0.00118888
2.325,-0.00112056
2.33,-0.00117142
2.335,-0.00114993
2.34,-0.00112986
2.345,-0.00128269
2.35,-0.00158237
2.355,-0.00178445
2.36,-0.00188237
2.365,-0.00204906
2.37,-0.00223096
2.375,-0.00235363
2.38,-0.00235422
2.385,-0.00220593
2.39,-0.00207492
2.395,-0.00200755
2.4,-0.00183849
2.405,-0.00156134
2.41,-0.00132779
2.415,-0.00109112
2.42,-8.83357E-4
2.425,-6.8083E-4
2.43,-4.4456E-4
2.435,-2.14989E-4
2.44,1.25757E-4
2.445,5.38292E-4
2.45,8.84631E-4
2.455,0.00112965
2.46,0.0014158
2.465,0.00178369
2.47,0.00205763
2.475,0.00229694
2.48,0.00265828
2.485,0.0030263
2.49,0.00329866
2.495,0.00353095
2.5,0.00376729
2.505,0.00390229
2.51,0.00389685
2.515,0.00381934
2.52,0.00364207
2.525,0.00337694
2.53,0.00309785
2.535,0.00287277
2.54,0.00272995
2.545,0.00265619
2.55,0.00269423
2.555,0.00268777
2.56,0.00257557
2.565,0.00247989
2.57,0.00242663
2.575,0.00230977
2.58,0.00219378
2.585,0.00209954
2.59,0.00182132
2.595,0.00125856
2.6,5.82166E-4
2.605,-6.24013E-5
2.61,-7.25019E-4
2.615,-0.00137039
2.62,-0.00179289
2.625,-0.00197817
2.63,-0.00213457
2.635,-0.00230292
2.64,-0.00235507
2.645,-0.00229103
2.65,-0.00206604
2.655,-0.00163695
2.66,-0.00102658
2.665,-3.6276E-4
2.67,1.35015E-4
2.675,5.94996E-4
2.68,0.00125476
2.685,0.00193284
2.69,0.00231207
2.695,0.00251025
2.7,0.00280498
2.705,0.00303022
2.71,0.00300562
2.715,0.00284168
2.72,0.00264176
2.725,0.00241005
2.73,0.00210509
2.735,0.00173107
2.74,0.00133231
2.745,9.67179E-4
2.75,5.47592E-4
2.755,1.83332E-4
2.76,-1.24726E-4
2.765,-4.73504E-4
2.77,-9.64005E-4
2.775,-0.00152294
2.78,-0.00195334
2.785,-0.00233908
2.79,-0.00279473
2.795,-0.00321545
2.8,-0.00340089
2.805,-0.00340324
2.81,-0.00324671
2.815,-0.00285433
2.82,-0.00221627
2.825,-0.00147717
2.83,-7.30535E-4
2.835,-6.43465E-5
2.84,5.53715E-4
2.845,0.00118395
2.85,0.00172602
2.855,0.00213473
2.86,0.00251367
2.865,0.0028915
2.87,0.00321899
2.875,0.00333883
2.88,0.00329534
2.885,0.00331948
2.89,0.00320828
2.895,0.0028129
2.9,0.00251297
2.905,0.00230113
2.91,0.00193339
2.915,0.00142202
2.92,9.86497E-4
2.925,6.52773E-4
2.93,2.60109E-4
2.935,-2.65057E-4
2.94,-8.44004E-4
2.945,-0.00139085
2.95,-0.00186066
2.955,-0.0022053
2.96,-0.00238922
2.965,-0.00230368
2.97,-0.0020197
2.975,-0.00170065
2.98,-0.00122019
2.985,-6.14235E-4
2.99,-6.75179E-5
2.995,3.69702E-4
3.0,8.83301E-4
3.005,0.00155064
3.01,0.00216132
3.015,0.00264545
3.02,0.00316533
3.025,0.00373883
3.03,0.00415277
3.035,0.00437612
3.04,0.00448487
3.045,0.00440162
3.05,0.00425926
3.055,0.00408491
3.06,0.00372503
3.065,0.00324792
3.07,0.00276092
3.075,0.00230994
3.08,0.00196705
3.085,0.00171238
3.09,0.00147602
3.095,0.00119955
3.1,9.86749E-4
3.105,8.98641E-4
3.11,8.28031E-4
3.115,7.18668E-4
3.12,6.74316E-4
3.125,7.37115E-4
3.13,7.75786E-4
3.135,7.18971E-4
3.14,6.13842E-4
3.145,5.71095E-4
3.15,4.8287E-4
3.155,3.49381E-4
3.16,3.41415E-4
3.165,3.98602E-4
3.17,3.38887E-4
3.175,2.01777E-4
3.18,7.7548E-5
3.185,-1.26926E-4
3.19,-3.29672E-4
