# Time Series: Kocaeli, Turkey 1999 - ATS-090
# Time (s),Acceleration (g's)
1.155,-0.00357958
1.16,-0.00346353
1.165,-0.0032243
1.17,-0.00294268
1.175,-0.00267168
1.18,-0.00232936
1.185,-0.0017967
1.19,-0.00105573
1.195,-2.62171E-4
1.2,5.04321E-4
1.205,0.00128923
1.21,0.00195001
1.215,0.00233247
1.22,0.00246771
1.225,0.0024935
1.23,0.00252141
1.235,0.00264097
1.24,0.00281094
1.245,0.00287729
1.25,0.00278584
1.255,0.00256663
1.26,0.00230124
1.265,0.0020279
1.27,0.00174546
1.275,0.00157587
1.28,0.00160707
1.285,0.00184543
1.29,0.00215649
1.295,0.00234525
1.3,0.00239529
1.305,0.00239638
1.31,0.00234069
1.315,0.00225796
1.32,0.00218058
1.325,0.00197926
1.33,0.00160442
1.335,0.00114683
1.34,6.61199E-4
1.345,1.26283E-4
1.35,-4.7128E-4
1.355,-0.00108598
1.36,-0.00163331
1.365,-0.00203152
1.37,-0.0022709
1.375,-0.00240136
1.38,-0.00251044
1.385,-0.00264834
1.39,-0.00275589
1.395,-0.00281473
1.4,-0.00288681
1.405,-0.00294471
1.41,-0.00286137
1.415,-0.00257803
1.42,-0.00221986
1.425,-0.00200799
1.43,-0.00202477
1.435,-0.00222508
1.44,-0.00249176
1.445,-0.00272457
1.45,-0.00286406
1.455,-0.0029262
1.46,-0.00290917
1.465,-0.00269585
1.47,-0.00236932
1.475,-0.00209568
1.48,-0.00195637
1.485,-0.00204611
1.49,-0.0023326
1.495,-0.00260292
1.5,-0.00266006
1.505,-0.00253756
1.51,-0.00240489
1.515,-0.00232153
1.52,-0.00228956
1.525,-0.00227996
1.53,-0.00226465
1.535,-0.00232103
1.54,-0.00248703
1.545,-0.0026914
1.55,-0.00284996
1.555,-0.00287269
1.56,-0.00272482
1.565,-0.00251098
1.57,-0.00235716
1.575,-0.0022963
1.58,-0.00225554
1.585,-0.00210431
1.59,-0.0018641
1.595,-0.00163057
1.6,-0.00147867
1.605,-0.00140694
1.61,-0.00136825
1.615,-0.00129846
1.62,-0.0010381
1.625,-5.42863E-4
1.63,6.85969E-5
1.635,6.24151E-4
1.64,9.68287E-4
1.645,0.00108164
1.65,0.00116682
1.655,0.00147962
1.66,0.00210599
1.665,0.00290417
1.67,0.00365835
1.675,0.00419258
1.68,0.00440974
1.685,0.00438692
1.69,0.0041846
1.695,0.00381674
1.7,0.00335831
1.705,0.00296564
1.71,0.00267708
1.715,0.00243404
1.72,0.00214906
1.725,0.00165786
1.73,8.40845E-4
1.735,-2.10656E-4
1.74,-0.00121819
1.745,-0.00197489
1.75,-0.00233147
1.755,-0.00221076
1.76,-0.00173277
1.765,-0.00113824
1.77,-6.14277E-4
1.775,-3.1263E-4
1.78,-2.7013E-4
1.785,-3.75536E-4
1.79,-5.20026E-4
1.795,-6.3133E-4
1.8,-6.92286E-4
1.805,-6.28599E-4
1.81,-4.08378E-4
1.815,-1.59492E-4
1.82,-1.23085E-4
1.825,-4.62324E-4
1.83,-0.00110381
1.835,-0.00185891
1.84,-0.00254008
1.845,-0.00312728
1.85,-0.00368399
1.855,-0.00415298
1.86,-0.00447486
1.865,-0.00467304
1.87,-0.00480802
1.875,-0.00507785
1.88,-0.00563588
1.885,-0.0063827
1.89,-0.00697726
1.895,-0.00710236
1.9,-0.00669121
1.905,-0.00592506
1.91,-0.00510201
1.915,-0.00438137
1.92,-0.0038187
1.925,-0.00344281
1.93,-0.0031473
1.935,-0.00275788
1.94,-0.00220665
1.945,-0.00153268
1.95,-7.99419E-4
1.955,-7.39376E-5
1.96,5.63204E-4
1.965,0.00103084
1.97,0.00121892
1.975,0.00112629
1.98,9.08882E-4
1.985,7.15575E-4
1.99,5.82523E-4
1.995,5.12263E-4
2.0,6.10267E-4
2.005,8.75459E-4
2.01,0.00106048
2.015,9.44516E-4
2.02,5.60597E-4
2.025,6.65074E-5
2.03,-4.3891E-4
2.035,-9.53887E-4
2.04,-0.001423
2.045,-0.00167626
2.05,-0.00161988
2.055,-0.00125653
2.06,-6.57338E-4
2.065,-2.37432E-5
2.07,5.30939E-4
2.075,0.00103077
2.08,0.00143665
2.085,0.00174219
2.09,0.00215494
2.095,0.00289281
2.1,0.00395404
2.105,0.00512023
2.11,0.0061337
2.115,0.00685031
2.12,0.00719676
2.125,0.00723071
2.13,0.0071279
2.135,0.00693942
2.14,0.00667648
2.145,0.00643157
2.15,0.00636051
2.155,0.00648403
2.16,0.00657877
2.165,0.00636045
2.17,0.00567833
2.175,0.00457361
2.18,0.00319877
2.185,0.00173352
2.19,2.60701E-4
2.195,-0.00106303
2.2,-0.0019268
2.205,-0.00222329
2.21,-0.00220077
2.215,-0.00220054
2.22,-0.00235499
2.225,-0.00256818
2.23,-0.00277782
2.235,-0.0030388
2.24,-0.00328314
2.245,-0.00340886
2.25,-0.0033993
2.255,-0.00328901
2.26,-0.00315976
2.265,-0.00313076
2.27,-0.00326885
2.275,-0.00352581
2.28,-0.00379835
2.285,-0.00396029
2.29,-0.00396545
2.295,-0.00389454
2.3,-0.00382093
2.305,-0.00363087
2.31,-0.0031651
2.315,-0.00242476
2.32,-0.00161521
2.325,-8.6212E-4
2.33,-1.35049E-4
2.335,5.15706E-4
2.34,9.69351E-4
2.345,0.00118268
2.35,0.00123893
2.355,0.00130433
2.36,0.00153384
2.365,0.00191034
2.37,0.00227187
2.375,0.00245311
2.38,0.00245431
2.385,0.00242294
2.39,0.00241823
2.395,0.00227461
2.4,0.00196375
2.405,0.00175514
2.41,0.00175309
2.415,0.00177458
2.42,0.00154933
2.425,8.84021E-4
2.43,-2.71136E-4
2.435,-0.00180406
2.44,-0.00339364
2.445,-0.00480856
2.45,-0.00594854
2.455,-0.00680012
2.46,-0.00739358
2.465,-0.00770185
2.47,-0.0077095
2.475,-0.00757723
2.48,-0.00746763
2.485,-0.00735871
2.49,-0.00718705
2.495,-0.00692316
2.5,-0.00644439
2.505,-0.00564971
2.51,-0.00460304
2.515,-0.00351236
2.52,-0.00247188
2.525,-0.00151269
2.53,-6.88198E-4
2.535,-1.39667E-4
2.54,5.92945E-5
2.545,9.61626E-5
2.55,3.33073E-4
2.555,0.00110953
2.56,0.00240957
2.565,0.0038566
2.57,0.00506335
2.575,0.00588696
2.58,0.00642236
2.585,0.00680379
2.59,0.00698686
2.595,0.00684546
2.6,0.00648581
2.605,0.00614034
2.61,0.00590186
2.615,0.00563139
2.62,0.00518476
2.625,0.00458296
2.63,0.00385678
2.635,0.00293076
2.64,0.00167056
2.645,7.69343E-5
2.65,-0.00175257
2.655,-0.00372239
2.66,-0.00567765
2.665,-0.00741789
2.67,-0.00884148
2.675,-0.0099367
2.68,-0.0106144
2.685,-0.0107728
2.69,-0.0103902
2.695,-0.00972475
2.7,-0.00912953
2.705,-0.00869876
2.71,-0.00831735
2.715,-0.00781752
2.72,-0.00708355
2.725,-0.00616876
2.73,-0.00512527
2.735,-0.00394714
2.74,-0.00269929
2.745,-0.00155482
2.75,-6.85699E-4
2.755,-5.40453E-5
2.76,4.12787E-4
2.765,8.47542E-4
2.77,0.00137314
2.775,0.00198297
2.78,0.00259985
2.785,0.00311678
2.79,0.00336635
2.795,0.00329928
2.8,0.00313225
2.805,0.00313006
2.81,0.00333913
2.815,0.00354761
2.82,0.00361879
2.825,0.0038122
2.83,0.00429957
2.835,0.00484437
2.84,0.00515086
2.845,0.00520033
2.85,0.00515399
2.855,0.00508866
2.86,0.00499198
2.865,0.00489145
2.87,0.00481927
2.875,0.00471894
2.88,0.00440288
2.885,0.00371434
2.89,0.002721
2.895,0.00177956
2.9,0.00133289
2.905,0.00142346
2.91,0.0016279
2.915,0.00160872
2.92,0.0012994
2.925,8.58141E-4
2.93,4.88145E-4
2.935,2.03934E-4
2.94,-7.03215E-5
2.945,-3.64607E-4
2.95,-7.37507E-4
2.955,-0.00125122
2.96,-0.00199156
2.965,-0.00300534
2.97,-0.004268
2.975,-0.00566784
2.98,-0.00693823
2.985,-0.00782851
2.99,-0.00828173
2.995,-0.00844046
3.0,-0.00843173
3.005,-0.00822828
3.01,-0.00792255
3.015,-0.00767332
3.02,-0.00751885
3.025,-0.00742758
3.03,-0.00721474
3.035,-0.00665524
3.04,-0.0056848
3.045,-0.00445561
3.05,-0.00329557
3.055,-0.00235559
3.06,-0.00155845
3.065,-9.54082E-4
3.07,-8.66372E-4
3.075,-0.00155411
3.08,-0.00275114
3.085,-0.00376831
3.09,-0.00408236
3.095,-0.00369221
3.1,-0.00283684
3.105,-0.00170731
3.11,-5.26617E-4
3.115,2.64999E-4
3.12,2.12053E-4
3.125,-6.41796E-4
3.13,-0.00177673
3.135,-0.00278743
3.14,-0.00359025
3.145,-0.00419505
3.15,-0.00461322
3.155,-0.00472151
3.16,-0.00433088
3.165,-0.00336056
3.17,-0.00199847
3.175,-7.10396E-4
3.18,6.6714E-5
3.185,2.08243E-4
3.19,-1.6462E-4
3.195,-7.66467E-4
3.2,-0.00122919
3.205,-0.00120232
3.21,-4.72598E-4
3.215,8.81604E-4
3.22,0.00259315
3.225,0.00429004
3.23,0.00572268
3.235,0.00700298
3.24,0.00833162
3.245,0.0096889
3.25,0.0108884
3.255,0.0117707
3.26,0.0124546
3.265,0.0132337
3.27,0.0142237
3.275,0.015171
3.28,0.0156871
3.285,0.0155757
3.29,0.014999
3.295,0.0143474
3.3,0.0139621
3.305,0.0137663
3.31,0.0132915
3.315,0.0122897
3.32,0.0109256
3.325,0.00937038
3.33,0.00756668
3.335,0.00545408
3.34,0.00324768
3.345,0.0012461
3.35,-4.45073E-4
3.355,-0.001973
3.36,-0.00361848
3.365,-0.00545659
3.37,-0.007147
3.375,-0.00826546
3.38,-0.00867044
3.385,-0.00872513
3.39,-0.00883672
3.395,-0.00909388
3.4,-0.00939831
3.405,-0.00955716
3.41,-0.00945235
3.415,-0.00908419
3.42,-0.00841664
3.425,-0.007526
3.43,-0.00669127
3.435,-0.00609357
3.44,-0.00565802
3.445,-0.00519105
3.45,-0.00460825
3.455,-0.00397684
3.46,-0.00327739
3.465,-0.00249496
3.47,-0.00184033
3.475,-0.00149586
3.48,-0.00140512
3.485,-0.00133622
3.49,-0.00121635
3.495,-0.00127294
3.5,-0.00171465
3.505,-0.00255514
3.51,-0.00351559
3.515,-0.00438147
3.52,-0.00518967
3.525,-0.00600824
3.53,-0.006695
3.535,-0.00688975
3.54,-0.00648242
3.545,-0.00587199
3.55,-0.00567224
3.555,-0.00624497
3.56,-0.00719969
3.565,-0.00764758
3.57,-0.00705145
3.575,-0.00550945
3.58,-0.00343389
3.585,-0.00121203
3.59,6.71745E-4
3.595,0.00184034
3.6,0.00232214
3.605,0.00243919
3.61,0.00263358
3.615,0.00314732
3.62,0.0039635
3.625,0.0051458
3.63,0.00693716
3.635,0.00923558
3.64,0.0115242
3.645,0.0132087
3.65,0.0138606
3.655,0.0133527
3.66,0.0118206
3.665,0.00956071
3.67,0.00698861
3.675,0.00466817
3.68,0.00303661
3.685,0.00209134
3.69,0.00146273
3.695,8.74033E-4
3.7,2.09582E-4
3.705,-6.29824E-4
3.71,-0.00173148
3.715,-0.00305218
3.72,-0.00440531
3.725,-0.00554396
3.73,-0.0061449
3.735,-0.00597195
3.74,-0.00520969
3.745,-0.00445558
3.75,-0.00422118
3.755,-0.00450268
3.76,-0.00501515
3.765,-0.00551331
3.77,-0.00599535
3.775,-0.00646782
3.78,-0.00664399
3.785,-0.00612852
3.79,-0.00483552
3.795,-0.00322007
3.8,-0.00194542
3.805,-0.00119961
3.81,-6.79255E-4
3.815,-2.74697E-4
3.82,-2.10769E-4
3.825,-6.43081E-4
3.83,-0.00139885
3.835,-0.00227899
3.84,-0.00319959
3.845,-0.00416143
3.85,-0.00512603
3.855,-0.00589594
3.86,-0.00639396
3.865,-0.00677614
3.87,-0.00722765
3.875,-0.00776263
3.88,-0.00809265
3.885,-0.00784251
3.89,-0.00694376
3.895,-0.0056626
3.9,-0.00438156
3.905,-0.00334601
3.91,-0.00251804
3.915,-0.00167132
3.92,-7.09087E-4
3.925,2.44999E-4
3.93,0.00110926
3.935,0.00205735
