# Time Series: Nisqually 2001 - UNR-058
# Time (s),Acceleration (g's)
0.0,4.6328460789362314E-4
0.01,-2.0613563245348819E-4
0.02,-3.8147175641019103E-4
0.03,5.423758368046172E-4
0.04,1.8789392911952604E-4
0.05,-5.29172551278979E-4
0.06,3.1415417089424014E-4
0.07,3.5655906961092726E-4
0.08,-3.5669469186725333E-4
0.09,2.5421627161161047E-5
0.1,2.2791575104648377E-4
0.11,-1.0703349257901526E-4
0.12,-3.409727072955596E-4
0.13,1.9313425073801962E-4
0.14,2.4030428331795262E-4
0.15,-3.2096179633208077E-4
0.16,2.73178914308148E-4
0.17,4.0468049741756865E-4
0.18,-3.5526606945287127E-4
0.19,-2.0756527458408325E-4
0.2,2.445921899935248E-4
0.21,-3.26679345138248E-4
0.22,-4.901031442949427E-4
0.23,8.926667108543692E-5
0.24,-2.5082367577103288E-5
0.25,-2.3234029969459497E-4
0.26,2.164796337179363E-4
0.27,6.38620731850326E-4
0.28,-3.073363482942697E-7
0.29,-1.1560930593015963E-4
0.3,4.6900215669979045E-4
0.31,-3.4049649982409897E-4
0.32,-9.637011619666246E-4
0.33,-2.7808069014393294E-4
0.34,-6.792574426537095E-4
0.35,-0.0011590502363192324
0.36,-5.547307184410578E-6
0.37,2.9938460126546784E-4
0.38,1.535876165663096E-4
0.39,5.881172469701681E-4
0.4,9.187765444876691E-4
0.41,4.351740910504606E-4
0.42,-4.7104566799059823E-4
0.43,-1.0750868033426297E-4
0.44,-4.958206931011099E-4
0.45,-0.0016207267517449895
0.46,-9.460723080766623E-4
0.47,-1.0369800084636446E-4
0.48,-1.888840735623276E-5
0.49,0.0011022112546078425
0.5,0.002085136106621527
0.51,0.0015276878444728831
0.52,8.496907710584143E-4
0.53,9.450770650527957E-5
0.54,-0.0012772149510791148
0.55,-0.0025688792808961267
0.56,-0.002799488102461085
0.57,-0.002366863301943069
0.58,-0.0016921986611126124
0.59,1.0174697781607378E-5
0.6,0.002199487082744872
0.61,0.0030108854705735394
0.62,0.0031929048145900992
0.63,0.003397775998939495
0.64,0.001827851508925066
0.65,-2.8665650349507727E-4
0.66,-0.0014301519887015444
0.67,-0.0020614582961561794
0.68,-0.0025617310702431514
0.69,-0.0017055365491783637
0.7,1.0022494939658292E-4
0.71,7.229543218122397E-4
0.72,0.0013547337775896967
0.73,0.001991760692999138
0.74,0.00133471674832894
0.75,9.02196978580861E-5
0.76,1.6845609866774078E-5
0.77,-2.966629786930297E-4
0.78,-0.0010618508868981762
0.79,3.7895203764792254E-4
0.8,0.0017482932499885283
0.81,0.0021456460666996373
0.82,0.0023629068030367145
0.83,0.0017540036607812043
0.84,2.9414325993076123E-4
0.85,-0.0021124441068050763
0.86,-0.0034169670580677398
0.87,-0.004104500517505979
0.88,-0.005688711231664228
0.89,-0.005001187969388119
0.9,-0.0027990088358409854
0.91,-0.002117195984357553
0.92,-4.534157943844228E-4
0.93,0.0024258130962153232
0.94,0.003829921532837411
0.95,0.004332580442862751
0.96,0.005056803291643936
0.97,0.005467024926962826
0.98,0.004646571459162915
0.99,0.0027421698541295956
1.0,8.373032585031585E-4
1.01,-0.0019866519147721186
1.02,-0.006878424334507706
1.03,-0.010531934962499937
1.04,-0.01269067418537421
1.05,-0.014281125562755886
1.06,-0.01163730733736801
1.07,-0.0060779776988064225
1.08,5.033074495367939E-4
1.09,0.007399529910825817
1.1,0.013229900118796939
1.11,0.017055875349890125
1.12,0.01572127077034461
1.13,0.011814432043562277
1.14,0.005847705383591746
1.15,-0.0022163022030968777
1.16,-0.007716029429009906
1.17,-0.011067387945934646
1.18,-0.011343323153166473
1.19,-0.009040110537237488
1.2,-0.005841179199828688
1.21,-0.001776529191925887
1.22,0.001343302758842214
1.23,0.0025949534244619718
1.24,0.002300979437422565
1.25,9.473642885185052E-4
1.26,-0.0014754069942335046
1.27,-0.0028585704598410263
1.28,-0.003587065919554588
1.29,-0.002406407896682353
1.3,9.907216021781138E-4
1.31,0.003021378350405082
1.32,0.0056075826097597035
1.33,0.007210382750480541
1.34,0.007213707025334849
1.35,0.006657207099264274
1.36,0.00436450775749109
1.37,0.0024286683016116616
1.38,-2.318640922231343E-4
1.39,-0.0017446120744596778
1.4,-6.292291455287993E-4
1.41,-8.479215634288977E-4
1.42,-7.693065419893643E-4
1.43,0.0012394344653882824
1.44,0.002067036143841169
1.45,9.749975781739942E-4
1.46,2.7651440604079886E-4
1.47,-5.010620344358164E-4
1.48,-0.0028552257906624585
1.49,-0.004690541622266523
1.5,-0.004972595126776218
1.51,-0.00534995130855083
1.52,-0.004791554710324116
1.53,-0.001520203127469625
1.54,0.0018316652475616035
1.55,0.004377845645556841
1.56,0.007874075244859354
1.57,0.01015060188749471
1.58,0.009835173071334247
1.59,0.008497285005582946
1.6,0.006342277944048171
1.61,0.002633070416503087
1.62,-0.0023282670432818544
1.63,-0.0063695655499074605
1.64,-0.010265585087670101
1.65,-0.015745336072970892
1.66,-0.018823655376708662
1.67,-0.019368183834438876
1.68,-0.019449149301749322
1.69,-0.016135989354162737
1.7,-0.009815767871801278
1.71,-0.0021834265523904698
1.72,0.005386028868165989
1.73,0.012487138829263814
1.74,0.018278922975735853
1.75,0.019567742297318655
1.76,0.019632494276842754
1.77,0.01787113846216598
1.78,0.012607669285637805
1.79,0.007293764945215745
1.8,0.0012222828386859936
1.81,-0.0037266650691112663
1.82,-0.008377825251232582
1.83,-0.01249009600628145
1.84,-0.01371028842673084
1.85,-0.014306414524837737
1.86,-0.012858927360515568
1.87,-0.00935646729515176
1.88,-0.004580952720857785
1.89,5.662004864046336E-4
1.9,0.005205447324009728
1.91,0.009074750296992347
1.92,0.011422249188050964
1.93,0.013056548362590691
1.94,0.01278591567966635
1.95,0.01234284898512744
1.96,0.011139175967328292
1.97,0.00925246643859014
1.98,0.008227610855898805
1.99,0.005245002115911141
2.0,0.002503953949615822
2.01,-6.216047274043633E-4
2.02,-0.004188351781699153
2.03,-0.0060484365201164516
2.04,-0.00701039600679131
2.05,-0.005783045178526816
2.06,-0.003694747951645057
2.07,-8.698383239944324E-4
2.08,0.0019626885837671373
2.09,0.003775611447334207
2.1,0.0053364808573773915
2.11,0.0038151458449113607
2.12,0.001174631500053535
2.13,-9.11289788051985E-4
2.14,-0.003824343685152422
2.15,-0.006129442776075418
2.16,-0.006911779251834214
2.17,-0.005789245053101722
2.18,-0.0036147002289262896
2.19,2.1600444596268857E-4
2.2,0.004048620069034788
2.21,0.006049252293086834
2.22,0.006369912253419873
2.23,0.005254526265340355
2.24,0.0021118220799151597
2.25,-0.004394181499288748
2.26,-0.009486073225821253
2.27,-0.01374128779960537
2.28,-0.018497754075040916
2.29,-0.02003905513095705
2.3,-0.017934054952506717
2.31,-0.014573172286152762
2.32,-0.01163822508195969
2.33,-0.007401100273793803
2.34,-0.0035332249035093534
2.35,1.535876165663096E-4
2.36,0.003342976449654061
2.37,0.00488194235544248
2.38,0.00600828009564938
2.39,0.006401829370886083
2.4,0.006233637378717503
2.41,0.005244043582670942
2.42,0.003417313761580152
2.43,-2.590221941233755E-4
2.44,-0.0037104719756491764
2.45,-0.007654571132853726
2.46,-0.01116558661724442
2.47,-0.012499171480576955
2.48,-0.013560186200180489
2.49,-0.010592913992036015
2.5,-0.0052498967537334355
2.51,9.788113168105316E-4
2.52,0.007068866534443464
2.53,0.011546144707927784
2.54,0.014723070569460518
2.55,0.015759408156709988
2.56,0.016399280080353636
2.57,0.015437789663136749
2.58,0.013792579525118158
2.59,0.013311375444213874
2.6,0.012757771512188158
2.61,0.009690332580442862
2.62,0.00605545216766174
2.63,0.003310110996109782
2.64,-7.01173183503031E-4
2.65,-0.002714199038407611
2.66,-0.0010065802287223466
2.67,0.001528156913930853
2.68,0.0037289084447798175
2.69,0.008100870327787776
2.7,0.013169940805473837
2.71,0.015606042838278105
2.72,0.015305430498692213
2.73,0.013710696313216033
2.74,0.009288197294692888
2.75,0.0018845477303666388
2.76,-0.002910504606567992
2.77,-0.007788928941075698
2.78,-0.011877450505524313
2.79,-0.011723473357364645
2.8,-0.010493797576134561
2.81,-0.007297701049797841
2.82,-0.002702288753040029
2.83,0.0024286683016116616
2.84,0.006513804408233188
2.85,0.009520243916118143
2.86,0.010713342476788708
2.87,0.007100324779613833
2.88,0.0021937664747900655
2.89,-0.0027637470491962087
2.9,-0.008901928793216848
2.91,-0.016181162782397656
2.92,-0.02306944777268486
2.93,-0.025926692601449017
2.94,-0.025302014449378737
2.95,-0.022304558641330116
2.96,-0.014367393554373819
2.97,-0.004349874829834856
2.98,0.005044413739656254
2.99,0.012248423263805682
3.0,0.014051791386457147
3.01,0.013312803046912045
3.02,0.00885795863011324
3.03,0.0014771813004440864
3.04,-0.0069799064920232695
3.05,-0.014838094558284429
3.06,-0.020596126098106897
3.07,-0.026887673160559414
3.08,-0.030084687431487817
3.09,-0.030054197916719774
3.1,-0.02778196427934106
3.11,-0.024175228034038126
3.12,-0.019503092289415856
3.13,-0.012192848730198385
3.14,-0.005321368663101058
3.15,-2.7855689761539364E-4
3.16,0.004799508496785345
3.17,0.00972510490330541
